Nun, daran dachte ich nicht einmal, aber ich war so frustriert, dass ich am Ende doch mit ihm redete.	Ich habe nicht wieder mit ihm gesprochen.
Nun, daran dachte ich nicht einmal, aber ich war so frustriert, dass ich am Ende doch mit ihm redete.	Ich war so mitgenommen, dass ich einfach wieder anfing mit ihm zu reden.
Nun, daran dachte ich nicht einmal, aber ich war so frustriert, dass ich am Ende doch mit ihm redete.	Wir hatten ein tolles Gespräch.
„Und ich dachte, das wäre ein Privileg, und das ist es immer noch, das ist esi mmer noch. Ich war der einzige 229 Ex-O, was mein AFCF Air Force-Karriere-Feld war.“	Mir war nicht bewusst, dass ich nicht die einzige Person auf dem Feld war an diesem Tag.
„Und ich dachte, das wäre ein Privileg, und das ist es immer noch, das ist esi mmer noch. Ich war der einzige 229 Ex-O, was mein AFCF Air Force-Karriere-Feld war.“	Ich hatte den Eindruck, dass ich im AFCF Air Force Career Field der einzige mit dieser Nummer war.
„Und ich dachte, das wäre ein Privileg, und das ist es immer noch, das ist esi mmer noch. Ich war der einzige 229 Ex-O, was mein AFCF Air Force-Karriere-Feld war.“	Uns wurde allen die gleiche Anzahl gegeben, unabhängig davon, was für Privilegien uns vorher versprochen worden waren. Es war alles gelogen.
Sie sagten mir, dass ich am Ende von einem Kerl angerufen werden würde, um mich zu treffen.	Mir wurde nie gesagt, dass ich jemanden treffen würde.
Sie sagten mir, dass ich am Ende von einem Kerl angerufen werden würde, um mich zu treffen.	Mir wurde gesagt, dass ein Typ Bescheid bekommen würde, sich mit mir zu treffen.
Sie sagten mir, dass ich am Ende von einem Kerl angerufen werden würde, um mich zu treffen.	Der Typ kam etwas spät.
Es gibt so viel was ich darüber erzählen könnte, ich überspringe das einfach.	Ich möchte dir alles erzählen, was ich darüber weiß!
Es gibt so viel was ich darüber erzählen könnte, ich überspringe das einfach.	Ich werde nicht darüber reden, obwohl es viel zu decken gibt.
Es gibt so viel was ich darüber erzählen könnte, ich überspringe das einfach.	Ich werde nicht über die Geschichte der Stadt sprechen, weil es zu viel zu sagen gibt.
Es war das Wichtigste was wir sichern wollten da es keine Möglichkeit gab eine 20 Megatonnen- H- Bombe ab zu werfen von einem 30, C124.	Uns war es egal etwas zu retten.
Es war das Wichtigste was wir sichern wollten da es keine Möglichkeit gab eine 20 Megatonnen- H- Bombe ab zu werfen von einem 30, C124.	Wir wollten eine Sache mehr retten als die Restlichen.
Es war das Wichtigste was wir sichern wollten da es keine Möglichkeit gab eine 20 Megatonnen- H- Bombe ab zu werfen von einem 30, C124.	Wir wollten uns die h-Bombe aufsparen, weil es so schwer war, damit umzugehen
Ich bin mir also nicht wirklich sicher warum.	Ich bin mir bezüglich des Grundes sicher.
Ich bin mir also nicht wirklich sicher warum.	Ich weiß nicht, warum er die Schule gewechselt hat.
Ich bin mir also nicht wirklich sicher warum.	Ich weiß nicht, warum das passiert ist.
Das ist Fannie Flono, sie ist aufgewachsen in Ag--Augusta, GA, und wird über einige Erinnerungen aus ihrer Kindheit sprechen.	Fannie Flono musste umplanen und kann uns heute keine Geschichten erzählen.
Das ist Fannie Flono, sie ist aufgewachsen in Ag--Augusta, GA, und wird über einige Erinnerungen aus ihrer Kindheit sprechen.	Fannie Flono ist hier und sie wird mit uns über ihre Kindheitserfahrungen sprechen als  sie in Augusta, GA, aufgewachsen ist.
Das ist Fannie Flono, sie ist aufgewachsen in Ag--Augusta, GA, und wird über einige Erinnerungen aus ihrer Kindheit sprechen.	Fannie Flono konnte heute trotz ihres vollen Terminkalenders mit uns sprechen.
Und ich hatte äh, fünf Abteilungen von U2	Ich habe mich mit den U2 beschäftigt.
Und ich hatte äh, fünf Abteilungen von U2	Ich habe mich überhaupt nicht mit den U2 beschäftigt.
Und ich hatte äh, fünf Abteilungen von U2	Ich arbeitete mit der Ablösung der U2's  jeden Tag für vierzig Jahre.
Ich war der Einzige der jemals die Regler für den Test in den Miniaturhöhenkammern laufen ließ.	Ich fand es nicht gut die Einzige zu sein, die die Regler für die Tests bedient.
Ich war der Einzige der jemals die Regler für den Test in den Miniaturhöhenkammern laufen ließ.	Versuche wurden in den Miniatur-Höhenkammern durchgeführt.
Ich war der Einzige der jemals die Regler für den Test in den Miniaturhöhenkammern laufen ließ.	Ein paar von uns haben die Testregler bedient.
Ich bin äh, Chief Master Sergeant, im Ruhestand, wie Rick sagte.	Ich arbeite noch immer, bis heute.
Ich bin äh, Chief Master Sergeant, im Ruhestand, wie Rick sagte.	Ich bin 2002 in den Ruhestand gegangen.
Ich bin äh, Chief Master Sergeant, im Ruhestand, wie Rick sagte.	Rick sagte dir, dass ich im Ruhestand war.
Es gibt einige Cash-Flow-Projektionen auf meinem Schreibtisch und, ähm, es ist für so und so Cutty, das ist der Name des Kunden.	Der Kunde namens Cutty verdient 10.000 $ pro Monat.
Es gibt einige Cash-Flow-Projektionen auf meinem Schreibtisch und, ähm, es ist für so und so Cutty, das ist der Name des Kunden.	Es gibt einen Klient mit dem Name Cutty.
Es gibt einige Cash-Flow-Projektionen auf meinem Schreibtisch und, ähm, es ist für so und so Cutty, das ist der Name des Kunden.	Wir haben keine Kunden namens Cutty.
Das Mädchen, das mir helfen kann, ist auf der anderen Seite der Stadt.	Das Mädchen, von dem ich Hilfe brauche, lebt in einiger Entfernung.
